CustomerID,MovieID,Rating,Title,Genre,Year
1,365,4,R.E.M.: Tourfilm,Drama,1989
1,75,4,Grind,Drama,1997
1,379,5,Crash Dive,Drama,1996
1,157,4,Laird: White Knuckle Extreme,Drama,2004
1,106,4,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,Drama,2004
1,400,4,Rio Lobo,Drama,1970
1,382,5,Buried in the Sand: The Deception of America,Drama,2004
1,126,4,Vampire Effect (aka Twins Effect),Drama,2003
1,69,4,WWE: Armageddon 2003,Drama,2003
1,456,5,Emma (Miniseries),Drama,1996
1,10,4,Fighter,Action,2001
1,196,3,Peter Tosh: Stepping Razor: Red X,Drama,1992
1,412,4,Jay Jay the Jet Plane: Adventures in Learning,Animation,1999
1,86,5,Iron Monkey 2,Drama,1996
1,376,4,Genesis: The Way We Walk: Live in Concert,Drama,2001
1,393,5,The Replacement Killers,Thriller,1998
1,502,3,Mitch Hedberg: Mitch All Together,Drama,2003
1,31,2,Classic Albums: Meat Loaf: Bat Out of Hell,Drama,1999
1,319,3,Straight to Hell,Drama,1987
1,414,2,Girl,Drama,1999
1,497,4,Broadway's Lost Treasures,Drama,2003
1,498,3,Glory: Bonus Material,Drama,1989
1,283,5,If These Walls Could Talk,Drama,1996
1,360,2,Lies,Drama,1999
1,78,5,Jingle All the Way,Drama,1996
1,468,2,The Matrix: Revolutions,Drama,2003
1,504,2,The Twilight Zone: Vol. 27,Drama,1964
1,213,3,Dinner Rush,Drama,2001
1,103,5,Sanford and Son: Season 6,Drama,1976
1,337,3,Star 80,Sci-Fi,1983
1,482,4,Frida,Drama,2002
1,339,3,Rolling Stones: Rock and Roll Circus,Drama,1968
1,446,3,The Underneath,Drama,1995
1,175,3,Reservoir Dogs,Drama,1992
1,3,4,Character,Drama,1997
1,336,4,The Driver,Drama,1978
1,415,5,Reign in Darkness,Horror,2002
1,71,1,Maya Lin: A Strong Clear Vision,Drama,1995
1,211,5,The Agronomist,Drama,2004
1,64,4,Outside the Law,Drama,2001
1,389,3,Steal,Drama,2002
2,376,3,Genesis: The Way We Walk: Live in Concert,Drama,2001
2,413,4,Igby Goes Down,Drama,2002
2,310,4,Leila,Drama,2000
2,354,3,Sadomania,Drama,1981
2,16,4,Screamers,Drama,1996
2,98,4,The Battle of Algiers: Bonus Material,Action,1965
2,258,2,Mann,Drama,1999
2,125,3,Nighthawks,Horror,1981
2,162,4,John Cleese on How to Irritate People,Drama,1968
2,338,5,The Three Stooges: Three Smart Saps,Drama,1942
2,295,4,Ace Ventura: When Nature Calls,Documentary,1995
2,268,5,The Final Countdown,Drama,1980
2,27,3,Sesame Street: Elmo's World: The Street We Live On,Documentary,1962
2,266,4,Saudade Do Futuro,Drama,2000
2,124,4,Cold Blooded,Drama,2000
2,32,1,ABC Primetime: Mel Gibson's The Passion of the Christ,Romance,2004
2,60,5,The Libertine,Drama,1969
2,262,1,Herbie Rides Again,Drama,1974
2,242,5,Neon Genesis Evangelion: The End of Evangelion,Drama,1995
2,238,4,Led Zeppelin: The Song Remains the Same,Drama,1976
2,463,1,The Twilight Zone: Vol. 12,Drama,1962
2,141,1,Goddess of Mercy,Drama,2004
2,211,5,The Agronomist,Drama,2004
2,484,5,Danielle Steel's Jewels,Drama,1992
2,339,2,Rolling Stones: Rock and Roll Circus,Drama,1968
2,177,2,Pressure,Drama,2002
2,233,4,Chato's Land,Drama,1971
2,154,3,Demon Warrior Koji,Action,2000
2,136,5,Cat and the Canary,Drama,1927
2,442,4,Mississippi Burning,Drama,1988
2,445,5,Michael Collins,Drama,1996
2,126,5,Vampire Effect (aka Twins Effect),Drama,2003
2,324,4,Mother's Boys,Drama,1994
2,121,3,Beyonce: Live at Wembley,Drama,2003
2,2,3,Isle of Man TT 2004 Review,Drama,2004
2,246,3,The Boston Strangler,Drama,1968
2,292,5,Saturday Night Live: The Best of Gilda Radner,Horror,2005
2,417,3,Transformers: Season 3: Part 1,Drama,1986
2,245,4,Road Dogz,Drama,2002
2,71,1,Maya Lin: A Strong Clear Vision,Drama,1995
2,117,4,Silk Stockings,Drama,1957
2,250,5,Cast a Giant Shadow,Drama,1966
2,308,2,The Legend of the 7 Golden Vampires/7 Brothers of Dracula,Fantasy,1974
2,387,5,Bizet's Carmen,Drama,1984
2,239,4,Winnie the Pooh: Springtime with Roo,Drama,2004
2,11,1,Full Frame: Documentary Shorts,Documentary,1999
2,501,3,Three Days of the Condor,Drama,1975
2,430,5,Chobits,Drama,2002
2,309,5,The Day of the Locust,Drama,1975
2,273,4,Taxi,Drama,2004
2,159,5,Gentlemen of Fortune,Drama,1971
2,491,2,Torn Curtain,Drama,1966
2,194,3,Arliss: The Best of Arliss,Drama,1996
2,49,1,Devo: The Complete Truth About De-evolution,Drama,2003
2,300,3,Option Zero,Drama,1997
